Adam 	﻿A Dong 
To take something literally 	Hiểu theo nghĩa đen 
To better understand 	Hiểu thêm 
To understand fully, completely 	Hiểu thấu 
To understand better 	Hiểu đúng hơn 
Able to understand, understandable 	Hiểu được 
1 to appear, become visible, rise, come into sight; 2 at present 	Hiện 
At present 	Hiện bây giờ 
To be in office 	Hiện chức 
Current at present, existing 	Hiện có 
Present; presence 	Hiện diện 
Active service military 	Hiện dịch 
Currently, now, at the present time 	Hiện giờ 
At the present 	Hiện giờ đây 
In force, in effect, in operation 	Hiện hành 
To appear 	Hiện hình 
Goods in stock, available goods 	Hiện hóa 
Present, existing, physical, real 	Hiện hữa 
Existent, existing, present 	Hiện hữu 
Cash 	Hiện kim 
To appear 	Hiện lên 
At present, now, nowadays, present, modern, today 	Hiện nay 
Cash 	Hiện ngân 
To appear, become visible 	Hiện ra 
Existentialism, existentialist 	Hiện sinh 
Personification, embodiment, incarnation 	Hiện thân 
Realistic; realism 	Hiện thật 
Present generation, modern generation 	Hiện thế 
Act 	Hiện thể 
Now, at present, at the present time 	Hiện thời 
Present and future 	Hiện thời và tương lai 
Realistic; realism; real, actual 	Hiện thực 
Immediate 	Hiện tiền 
Scene, place of action, location 	Hiện trường 
Present condition, current situation 	Hiện trạng 
Current situation, present situation, present condition 	Hiện tình 
Phenomenon 	Hiện tượng 
Phenomenology 	Hiện tượng học 
Phenomenology 	Hiện tượng luận 
Phenomenalism 	Hiện tượng thuyết 
At present, at the present time, present, existing 	Hiện tại 
Remaining velocity, terminal velocity 	Hiện tốc 
Things in nature; in kind payment 	Hiện vật 
To manifest itself; manifestation 	Hiện điềm 
Modern, present time, modern times, contemporary 	Hiện đại 
To modernize; modernization 	Hiện đại hóa 
Present intention 	Hiện ‎‎‎ý 
1 to unite, join, come together; 2 round in boxing, trip; 3 gorge, straits; 4 chivalrous 	Hiệp 
High ranking court official 	Hiệp biện 
To coerce, force 	Hiệp chế 
To bear a grudge 	Hiệp cừu 
To bear a grudge 	Hiệp hiềm 
Concord, harmony 	Hiệp hài 
To agree; harmony, concord 	Hiệp hòa 
To bear a grudge 	Hiệp hận 
Association 	Hiệp hội 
Association of Southeast Asian Nations ASEAN 	Hiệp hội các nước Đông Nam Á 
Knight 	Hiệp khách 
To stage a joint attack 	Hiệp kích 
To frequent brothels 	Hiệp kỹ 
Communion 	Hiệp lễ 
To unite, join forces 	Hiệp lực 
To plot together 	Hiệp mưu 
To remain faithful 	Hiệp nghĩa 
Agreement; to meet and discuss, hold discussions, have talks 	Hiệp nghị 
Agreement, convention 	Hiệp nghị thư 
Heroine 	Hiệp nữ 
To rely on one’s nobility 	Hiệp quí 
Knight 	Hiệp sĩ 
To unite, join forces 	Hiệp sức 
High ranking court official 	Hiệp ta 
To bear a grudge 	Hiệp thù 
To confer, negotiate 	Hiệp thương 
To rely on one’s power 	Hiệp thế 
Skill, prowess 	Hiệp trí 
Join forces and help each other 	Hiệp trợ 
To cooperate 	Hiệp tác 
A knight’s love, courtly love 	Hiệp tình 
Concord 	Hiệp điều 
Harmony 	Hiệp điệu 
Corporation, group, union 	Hiệp đoàn 
Agreement, convention; to agree 	Hiệp định 
Framework or outline agreement 	Hiệp định khung 
Trade agreement 	Hiệp định thương mại 
Armistice agreement, truce agreement 	Hiệp định đình chiến 
Contract 	Hiệp đồng 
Agreement, pact, compact, treaty 	Hiệp ước 
The Tripartite Pact 	Hiệp ước Tay Ba 
One-sided treaty, unequal treaty 	Hiệp ước bất bình đẳng 
Non-aggression treaty 	Hiệp ước bất xâm phạm 
The agreement is valid for 5 years 	Hiệp ước có giá trị trong 5 năm 
Defense treaty 	Hiệp ước phòng thủ 
Treaty of friendship 	Hiệp ước thân thiện 
Trade agreement 	Hiệp ước thương mại 
Store, shop; sign, signal, mark, brand, trademark 	Hiệu 
Token 	Hiệu bài 
Pharmacy, drugstore 	Hiệu bào 
To regulate, adjust 	Hiệu chỉnh 
Useful 	Hiệu dụng 
Photographer 	Hiệu hay nhười chụp ảnh 
School flag 	Hiệu kỳ 
Order, command 	Hiệu lệnh 
Validity, effectiveness 	Hiệu lực 
Effective, efficient 	Hiệu nghiệm 
Efficiency, output 	Hiệu năng 
Vice-director of college, university, assistant 	Hiệu phó 
Effect, result; effective; efficient 	Hiệu quả 
Blocking effect 	Hiệu quả ngăn chặn 
The results are very poor 	Hiệu quả rất là thấp 
Efficiency, performance, productivity, output 	Hiệu suất 
Fuel efficiency 	Hiệu suất nhiên liệu 
Bookstore 	Hiệu sách 
Difference 	Hiệu số 
Drug store 	Hiệu thuốc 
Operator 	Hiệu thính viên 
Potential difference 	Hiệu thế 
Principal, chancellor, headmaster 	Hiệu trưởng 
Officer 	Hiệu úy 
Restaurant 	Hiệu ăn 
Society in a college 	Hiệu đoàn 
To revise 	Hiệu đính 
To revise 	Hiệu đính lại 
Effect 	Hiệu ứng 
Calorific effect 	Hiệu ứng nhiệt 
Greenhouse effect 	Hiệu ứng nhà kính 
Side effect 	Hiệu ứng phụ 
Furniture company 	Hng bán bàn ghế 
To cough 	Ho 
Light cough caused by a cold 	Ho gió 
Whooping-cough 	Ho gà 
Act against, perform hostile activities against, speak up 	Ho he 
To cough 	Ho hen 
Dry cough, hacking cough 	Ho khan 
Tuberculosis, phthisis 	Ho lao 
1 flower, blossom, bloom; 2 earring; 3 smallpox; 4 to wave, gesticulate; 5 Chinese 	Hoa 
Cherry blossom 	Hoa anh đào 
Hop 	Hoa bia 
Pansy 	Hoa bướm 
Banana inflorescense 	Hoa chuối 
Gesticulate, wave with the hands and 	Hoa chân múa tay 
Flowered candelabrum of the wedding night, marriage 	Hoa chúc 
Lilac 	Hoa cà 
Fireworks sparkle 	Hoa cà hoa cải 
Cranium, skull 	Hoa cái 
Chrysanthemum, daisy 	Hoa cúc 
Granite 	Hoa cương 
Ageratum conyzoides 	Hoa cứt lợn 
Night lady, horticulture 	Hoa dạ hương 
Day-lily 	Hoa hiên 
Flowery, flamboyant 	Hoa hòe 
Beauty queen 	Hoa hậu 
Miss Universe 	Hoa hậu hoàn vũ 
Monetary commission 	Hoa hồng 
Beautiful woman, beauty queen, belle 	Hoa khôi 
Orchids 	Hoa lan 
Lily 	Hoa loa kèn 
Jasmine, jessamine 	Hoa lài 
Pergularia 	Hoa lý 
Cauliflower 	Hoa lơ 
Splendid, resplendent 	Hoa lệ 
Apricot blossom 	Hoa mai 
Farm produce, fruits of the earth 	Hoa màu 
Snapdragon, antirrhinum 	Hoa mõm chó 
Nectar 	Hoa mật 
Be dazzled 	Hoa mắt 
Sunflower 	Hoa mặt trời 
Ohmantus fragans 	Hoa mộc 
Fine, beautiful, splendid, flowery 	Hoa mỹ 
Sensual love 	Hoa nguyệt 
Bragging words 	Hoa ngôn 
Maid 	Hoa nô 
Fruits 	Hoa quả 
Grey-haired, grey, pepper-and-salt 	Hoa râm 
Shower 	Hoa sen 
Milk flower 	Hoa sữa 
Ear-ring 	Hoa tai 
Narcissus 	Hoa thủy tiên 
Flower-filigreed paper 	Hoa tiên 
Pilot, navigator 	Hoa tiêu 
Camelia 	Hoa trà 
Amorous, erotic 	Hoa tình 
Violet 	Hoa tím 
Inflorescence 	Hoa tự 
Flower-garden 	Hoa viên 
One-piaster silver 	Hoa xòe 
Peach blossom 	Hoa đào 
Wick of an incandescent lamp, lamp-wick 	Hoa đèn 
Flower garlands and colored lanterns 	Hoa đăng 
Gerbera 	Hoa đồng tiền 
Completely decomposed compost 	Hoai 
Welcome, cheer 	Hoan 
Joyful, happy 	Hoan hân 
To applaud, cheer, acclaim 	Hoan hô 
Overjoyed 	Hoan hùy 
Joyful, delighted, overjoyed 	Hoan hỉ 
Merry, joyful, cheerful 	Hoan lạc 
Hedonist 	Hoan lạc chủ nghĩa 
To welcome 	Hoan nghinh 
To welcome 	Hoan nghênh 
Give a cheerful send-off 	Hoan tống 
Abandoned, uncultivated, uninhabited, virgin 	Hoang 
Lustful 	Hoang dâm 
Wild 	Hoang dã 
Wild 	Hoang dại 
Uncultivated, fallow 	Hoang hóa 
Deserted, solitary 	Hoang liêu 
Be isolated, lonely 	Hoang lương 
Confused, puzzled 	Hoang mang 
Desert 	Hoang mạc 
Famine year 	Hoang niên 
Deserted, win 	Hoang phế 
Neglected 	Hoang sơ 
Unborn child out of wedlock, unborn illegitimate child 	Hoang thai 
Devastated 	Hoang tàn 
Delirium 	Hoang tưởng 
Wild, desert, desolate 	Hoang vu 
Deserted, unfrequented 	Hoang vắng 
Uncultivated field 	Hoang điền 
Wild, prodigal, extravagant 	Hoang đàng 
Fabulous 	Hoang đường 
Fantastic exaggeration 	Hoang đản 
Desert island 	Hoang đảo 
Waste land 	Hoang địa 
Ruins 	Hoanh tàn 
Stained and rusty 	Hoen gỉ 
Stained 	Hoen quẹn 
Weakly 	Hoi hóp 
To dry 	Hong 
Movement 	Hong trào 
1 always, continuous, incessant, endless; to keep on doing sth; 2 to cherish, long for 	Hoài 
Aspiration, striving, yearning 	Hoài bão 
Vain, useless 	Hoài công 
Remember recollect with emotion 	Hoài cảm 
To remember things in the past 	Hoài cổ 
Forever, continually 	Hoài hoài 
Lose one’s time, waste one’s breath 	Hoài hơi 
Esteem and admire 	Hoài mộ 
To doubt, suspect; skeptical 	Hoài nghi 
To think of 	Hoài niệm 
Oppositifolius yam 	Hoài sơn 
Think longingly of one’s native village 	Hoài tưởng 
To long for 	Hoài vọng 
To return 	Hoàn 
Perfect, excellent 	Hoàn bích 
To complete, perfect 	Hoàn bị 
Fully done, fully made; to perfect 	Hoàn chỉnh 
Finished work, completed work 	Hoàn công 
Atmosphere, circumstances, environment, situation, surroundings 	Hoàn cảnh 
Unclear, uncertain conditions 	Hoàn cảnh mập mờ 
The earth, the world 	Hoàn cầu 
World, universe 	Hoàn hải 
Perfect, excellent 	Hoàn hảo 
To recover from a shock, regain consciousness, come to 	Hoàn hồn 
Turn over a new leaf, reform 	Hoàn lương 
Overjoyed, pleased 	Hoàn lạc 
Perfectly beautiful 	Hoàn mỹ 
Revert to the original state 	Hoàn nguyên 
To perfect 	Hoàn thiện 
To accomplish, carry out, complete, finish, end 	Hoàn thành 
To complete, carry out one’s mission 	Hoàn thành nhiệm vụ 
To return, refund money 	Hoàn tiền 
To return, refund money 	Hoàn tiền lại 
Perfect, clean, entirely, flawless, entire, complete; completely, totally 	Hoàn toàn 
Totally, completely secret 	Hoàn toàn bí mật 
Completely unexpected 	Hoàn toàn bất ngờ 
Mostly or always 	Hoàn toàn hoặc phần lớn 
To be completely happy 	Hoàn toàn hài lòng 
To be completely different 	Hoàn toàn khác biệt nhau 
Completely different 	Hoàn toàn khác hẳn 
Completely different 	Hoàn toàn khác nhau 
Not at all 	Hoàn toàn không 
To not be the same at all 	Hoàn toàn không giống nhau 
To not want at all 	Hoàn toàn không muốn 
Completely beyond 	Hoàn toàn ngoài 
Beyond all 	Hoàn toàn ngoài mọi 
Completely opposite, exact opposite 	Hoàn toàn ngược lại 
Completely wrong 	Hoàn toàn sai 
Complete failure 	Hoàn toàn thất bại 
Completely free 	Hoàn toàn tự do 
Complete, total support 	Hoàn toàn ủng hộ 
To return money 	Hoàn trả 
To return 	Hoàn trả lại 
Powdered medicine and pills, medicine in pills and in powder 	Hoàn tán 
To finish, complete, be completed; finished, complete 	Hoàn tất 
To be completed in three stages 	Hoàn tất qua ba giai đoạn 
Completed in 28 months 	Hoàn tất trong vòng 28 tháng 
Give up the frock, return to the secular life 	Hoàn tục 
To return to secular life 	Hoàn tực 
Universe 	Hoàn vũ 
Rejuvenate oneself 	Hoàn đồng 
King, emperor; yellow 	Hoàng 
Oriole 	Hoàng anh 
Royal robe 	Hoàng bào 
Yellow race 	Hoàng chủng 
Imperial palace, royal palace 	Hoàng cung 
Royalty, throne 	Hoàng cực 
Boxwood 	Hoàng dương 
Royal family, imperial family 	Hoàng gia 
Chrysanthemum 	Hoàng hoa 
Empress, queen 	Hoàng hậu 
The king’s late father 	Hoàng khảo 
Gold 	Hoàng kim 
Astragalus 	Hoàng kỳ 
Ylang ylang 	Hoàng lan 
Goldthread 	Hoàng liên 
Sweet dream 	Hoàng lương 
Yellow apricot blossom 	Hoàng mai 
Oriole 	Hoàng oanh 
Heaven 	Hoàng thiên 
Royal citadel, imperial citadel 	Hoàng thành 
Queen mother 	Hoàng thái hậu 
Crown prince 	Hoàng thái tử 
Prince 	Hoàng thân 
Sir, his majesty 	Hoàng thượng 
Royal blood 	Hoàng thất 
Loess 	Hoàng thổ 
Arrowroot 	Hoàng tinh 
Reigning king’s court 	Hoàng triều 
Grasshopper 	Hoàng trùng 
Styx, hades, nether world 	Hoàng tuyền 
King’s grandson, queen’s grandson 	Hoàng tôn 
Imperial, royal 	Hoàng tộc 
Prince 	Hoàng tử 
Serin, canary, yellow swallow 	Hoàng yến 
Royal favor 	Hoàng ân 
Jaundice, the yellows 	Hoàng đản 
Rhubarb plant 	Hoàng đằng 
Emperor, king 	Hoàng đế 
Diaphragm 	Hoành cách 
Diaphragm 	Hoành cách mô 
To do whatever one like 	Hoành hành 
Topaz 	Hoành ngọc 
Horizontal lacquered board engraved with Chinese characters 	Hoành phi 
On a large scale 	Hoành tráng 
Abscissa 	Hoành độ 
1 to exchange; 2 to shout, yell 	Hoán 
To exchange, switch; to convert 	Hoán chuyển 
Turn over a new leaf, reform, give up one’s bad ways for a good life 	Hoán cải 
Modernize 	Hoán cựu tòng tân 
Metonymy 	Hoán dụ 
To permute 	Hoán vị 
To change 	Hoán đổi 
Very deep 	Hoáy 
To defer, postpone, delay, put off 	Hoãn 
Put off the fighting, postpone a battle-temporize, try to gain 	Hoãn binh 
To postpone 	Hoãn lại 
To postpone something until 	Hoãn lại cho đến khi 
To pay back late 	Hoãn trả 
Deaden a shock, act as a buffer 	Hoãn xung 
Hormone 	Hoóc môn 
Or 	Hoạc 
To form, define, determine 	Hoạch định 
To form a plan 	Hoạch định một kế hoạch 
Arbotive 	Hoại 
Scurvy 	Hoại huyết 
Vicious man, depraved man 	Hoại nhân 
Commit self-destruction 	Hoại thân 
Gangrene, canker 	Hoại thư 
Necrosis 	Hoại tử 
To castrate, evirate, geld 	Hoạn 
Career 	Hoạn lộ 
Disaster, calamity 	Hoạn nạn 
Eunuch 	Hoạn quan 
Mandarin’s career 	Hoạn đồ 
Ill-gotten gains 	Hoạnh tài 
Active element, active substance 	Hoạt chất 
Lively scene 	Hoạt cảnh 
Sinovial fluid 	Hoạt dịch 
Animated cartoon 	Hoạt hình 
Active 	Hoạt hóa 
Have the gift of the gab, be voluble 	Hoạt khẩu 
Humor, humoristic, humorous, comic 	Hoạt kê 
Short comedy, sketch 	Hoạt kịch 
Vitality 	Hoạt lực 
Living Buddha 	Hoạt phật 
Talc 	Hoạt thạch 
Have a quick ejaculation 	Hoạt tinh 
Printing movable type 	Hoạt tự 
Opportunist, time-serving 	Hoạt đầu 
Activity 	Hoạt độ 
Action, activity; to operate, be active 	Hoạt động 
To operate normally 	Hoạt động bình thường 
Political activity 	Hoạt động chính trị 
To carry out, conduct business 	Hoạt động kinh doanh 
Economic activity 	Hoạt động kinh tế 
To operate continuously, non-stop 	Hoạt động liên tục 
Volcanic activity, vulcanism 	Hoạt động núi lửa 
To operate in parallel with 	Hoạt động song song với 
To operate in Iraq’s territorial waters 	Hoạt động trên lãnh hải của Iraq 
To operate at 40% capacity 	Hoạt động ở 40% khả năng 
Frightened, scared, panic-stricken, in terror 	Hoảng 
False alarm, false report 	Hoảng báo 
Panicky, panic-stricken, dismayed; to panic 	Hoảng hốt 
To be scared 	Hoảng hồn 
Terrified 	Hoảng kinh 
Scared, afraid 	Hoảng kính 
Get into a state of panic, hysterical 	Hoảng loạn 
Scared, afraid; to be scared, afraid 	Hoảng sợ 
Patchouli 	Hoắc hương 
Vegetable, simple dish, frugal fare 	Hoắc lê 
Very 	Hoắm 
Or 	Hoặc 
Perhaps, or 	Hoặc giả 
Or, either 	Hoặc là 
Untrustworthy, unreliable 	Hoẹt 
To weep noisily 	Hu hu 
To fumigate, smoke out; 2 =hôn to kiss 	Hun 
To smoke out 	Hun khói 
To form, forge, shape, temper 	Hun đúc 
Of hair reddish 	Hung 
Atrocious, violent, cruel, brutal 	Hung bạo 
Ferocious, fierce, cruel, wicked 	Hung dữ 
Dangerous, awful threats 	Hung hiểm 
A little bit 	Hung hung 
Murder weapon 	Hung khí 
Unlucky year, famine year 	Hung niên 
Murderer, killer, assassin 	Hung phạm 
Mourning clothes 	Hung phục 
Mourning, funeral 	Hung sự 
Bad guy, villian, anti-hero 	Hung thần 
Murderer, assassin, killer 	Hung thủ 
The murderer was arrested on the spot 	Hung thủ đã bị bắt ngay tại chỗ 
Bad news 	Hung tin 
Unlucky star; tyrannical 	Hung tinh 
Cruel, brutal 	Hung tàn 
Temporary burial 	Hung tán 
First burial in inauspicious site 	Hung táng 
Fierce, cruel, violent 	Hung tợn 
Cruel, ferocious, brutal 	Hung ác 
Thug, hooligan 	Hung đồ 
Decoration, medal 	Huy chương 
Silver medal 	Huy chương bạc 
Gold medal 	Huy chương vàng 
Bronze medal 	Huy chương đồng 
Badge, insignia 	Huy hiệu 
Brilliant, splendid, resplendent 	Huy hoàng 
Squander, spend wastefully 	Huy hoắc 
Pyroxene 	Huy khoáng 
To mobilize 	Huy động 
To mobilize the strength of the entire country 	Huy động sức lực của cả nước 
Elder brother 	Huynh 
Elders, seniors 	Huynh trưởng 
Venerable brother 	Huynh ông 
Brotherhood, brothers 	Huynh đệ 
Noisy 	Huyên hoa 
Noisy, loud, clamorous 	Huyên náo 
Talk nineteen to the dozen, palaver 	Huyên thiên 
To talk through 	Huyên thuyên 
Spread 	Huyên truyền 
Mother 	Huyên đình 
Mother 	Huyên đường 
Blood 	Huyết 
Leucorhoea 	Huyết bạch 
Bloody battle 	Huyết chiến 
Oxyhaemoglobin 	Huyết cầu tố 
Blood 	Huyết dịch 
Cordyline 	Huyết dụ 
Seborrhea 	Huyết hãn 
Hematology 	Huyết học 
Energy, constitution 	Huyết khí 
Thrombosis 	Huyết khối 
Blood and tear, excruciating pain, agony 	Huyết lệ 
Bloody road, road of blood 	Huyết lộ 
Blood vessel, vein, artery 	Huyết mạch 
Blood-vessel 	Huyết quản 
Bloody history, history written in blood 	Huyết sử 
Test positive for AIDS 	Huyết thanh dương tính 
Antitoxic serum 	Huyết thanh kháng độc 
Letter written in blood, very moving letter 	Huyết thư 
Take oath of alliance 	Huyết thệ 
Righteous enthusiasm 	Huyết tính 
Plasma 	Huyết tương 
Relations bound by the same line of ancestry 	Huyết tộc 
Blood pressure 	Huyết áp 
High blood pressure, hypertension 	Huyết áp cao 
Sphymomanometer 	Huyết áp kế 
